Date,Value
2017-01-31,394400.0
2016-12-31,390600.0
2016-11-30,386900.0
2016-10-31,386100.0
2016-09-30,388300.0
2016-08-31,384600.0
2016-07-31,379700.0
2016-06-30,373300.0
2016-05-31,369900.0
2016-04-30,364100.0
2016-02-29,354100.0
2016-01-31,353400.0
2015-12-31,351900.0
2015-11-30,348900.0
2015-10-31,344300.0
2015-09-30,338900.0
2015-08-31,331100.0
2015-07-31,325500.0
2015-06-30,325500.0
2015-05-31,326400.0
2015-04-30,318700.0
2015-03-31,308200.0
2015-02-28,299300.0
2015-01-31,294300.0
2014-12-31,291600.0
2014-11-30,291800.0
2014-10-31,289800.0
2014-09-30,286400.0
2014-08-31,285600.0
2014-07-31,285200.0
2014-06-30,282100.0
2014-05-31,276800.0
2014-04-30,270800.0
2014-03-31,266300.0
2014-02-28,264500.0
2014-01-31,263200.0
2013-12-31,261100.0
2013-11-30,259400.0
2013-10-31,259400.0
2013-09-30,260600.0
2013-08-31,264300.0
2013-07-31,267700.0
2013-06-30,266700.0
2013-05-31,262500.0
2013-04-30,259800.0
2013-03-31,257400.0
2013-02-28,254400.0
2013-01-31,251600.0
2012-12-31,249500.0
2012-11-30,246500.0
2012-10-31,242900.0
2012-09-30,241300.0
2012-08-31,240800.0
2012-07-31,239300.0
2012-06-30,237100.0
2012-05-31,234300.0
2012-04-30,232200.0
2012-03-31,231100.0
2012-02-29,229900.0
2012-01-31,228700.0
2011-12-31,228900.0
2011-11-30,229100.0
2011-10-31,229600.0
2011-09-30,230300.0
2011-08-31,230000.0
2011-07-31,229100.0
2011-06-30,230400.0
2011-05-31,233200.0
2011-04-30,235700.0
2011-03-31,238100.0
2011-02-28,241500.0
2011-01-31,243800.0
2010-12-31,244300.0
2010-11-30,245500.0
2010-10-31,247800.0
2010-09-30,250200.0
2010-08-31,252600.0
2010-07-31,254500.0
2010-06-30,255400.0
2010-05-31,255900.0
2010-04-30,256700.0
2010-03-31,258400.0
2010-02-28,260100.0
2010-01-31,261700.0
2009-12-31,265100.0
2009-11-30,268400.0
2009-10-31,270200.0
2009-09-30,268600.0
2009-08-31,266100.0
2009-07-31,265900.0
2009-06-30,268400.0
2009-05-31,270500.0
2009-04-30,272100.0
2009-03-31,274900.0
2009-02-28,278300.0
2009-01-31,280600.0
2008-12-31,281800.0
2008-11-30,283100.0
2008-10-31,284600.0
2008-09-30,288300.0
2008-08-31,292800.0
2008-07-31,295400.0
2008-06-30,295800.0
2008-05-31,297600.0
2008-04-30,300900.0
2008-03-31,303900.0
2008-02-29,306300.0
2008-01-31,308700.0
2007-12-31,309500.0
2007-11-30,309700.0
2007-10-31,312600.0
2007-09-30,314700.0
2007-08-31,313300.0
2007-07-31,312800.0
2007-06-30,313800.0
2007-05-31,312500.0
2007-04-30,312000.0
2007-03-31,311300.0
2007-02-28,306300.0
2007-01-31,299800.0
2006-12-31,295100.0
2006-11-30,292000.0
2006-10-31,289100.0
2006-09-30,286900.0
2006-08-31,284600.0
2006-07-31,283500.0
2006-06-30,283400.0
2006-05-31,283700.0
2006-04-30,281700.0
2006-03-31,278300.0
2006-02-28,274200.0
2006-01-31,270200.0
2005-12-31,267000.0
2005-11-30,264100.0
2005-10-31,260100.0
2005-09-30,255100.0
2005-08-31,250100.0
2005-07-31,244500.0
2005-06-30,240800.0
2005-05-31,238500.0
2005-04-30,235200.0
2005-03-31,230700.0
2005-02-28,227800.0
2005-01-31,228900.0
2004-12-31,231500.0
2004-11-30,231700.0
2004-10-31,228700.0
2004-09-30,225400.0
2004-08-31,222000.0
2004-07-31,219200.0
2004-06-30,216000.0
2004-05-31,211900.0
2004-04-30,209000.0
2004-03-31,209600.0
2004-02-29,210500.0
2004-01-31,208700.0
2003-12-31,205500.0
2003-11-30,202900.0
2003-10-31,201000.0
2003-09-30,199800.0
2003-08-31,200100.0
2003-07-31,200800.0
2003-06-30,200600.0
2003-05-31,200900.0
2003-04-30,200500.0
2003-03-31,198500.0
2003-02-28,198400.0
2003-01-31,200100.0
2002-12-31,200100.0
2002-11-30,199600.0
2002-10-31,199900.0
2002-09-30,199900.0
2002-08-31,199300.0
2002-07-31,199100.0
2002-06-30,198700.0
2002-05-31,199300.0
2002-04-30,199700.0
2002-03-31,198600.0
2002-02-28,197400.0
2002-01-31,196500.0
2001-12-31,195500.0
2001-11-30,195000.0
2001-10-31,194100.0
2001-09-30,192100.0
2001-08-31,191800.0
2001-07-31,191800.0
2001-06-30,190400.0
2001-05-31,186400.0
2001-04-30,184300.0
2001-03-31,184900.0
2001-02-28,186300.0
2001-01-31,184300.0
2000-12-31,181300.0
2000-11-30,178800.0
2000-10-31,178700.0
2000-09-30,180100.0
2000-08-31,180700.0
2000-07-31,179200.0
2000-06-30,176900.0
2000-05-31,174500.0
2000-04-30,170900.0
2000-03-31,167500.0
2000-02-29,164800.0
2000-01-31,163300.0
1999-12-31,163100.0
1999-11-30,162100.0
1999-10-31,160200.0
1999-09-30,159500.0
1999-08-31,159200.0
1999-07-31,157200.0
1999-06-30,155200.0
1999-05-31,154500.0
1999-04-30,154400.0
1999-03-31,153600.0
1999-02-28,152000.0
1999-01-31,150700.0
1998-12-31,150100.0
1998-11-30,149100.0
1998-10-31,148000.0
1998-09-30,146600.0
1998-08-31,144100.0
1998-07-31,142400.0
1998-06-30,141800.0
1998-05-31,142400.0
1998-04-30,142000.0
1998-03-31,141000.0
1998-02-28,139100.0
1998-01-31,135600.0
1997-12-31,131400.0
1997-11-30,129500.0
1997-10-31,128300.0
1997-09-30,125700.0
1997-08-31,123400.0
1997-07-31,122400.0
1997-06-30,121100.0
1997-05-31,119400.0
1997-04-30,118300.0
1997-03-31,117100.0
1997-02-28,114500.0
1997-01-31,112600.0
1996-12-31,111600.0
1996-11-30,110400.0
1996-10-31,109300.0
1996-09-30,109400.0
1996-08-31,109600.0
1996-07-31,109500.0
1996-06-30,109000.0
1996-05-31,108200.0
1996-04-30,108100.0
